20190112,ARCOSA, INC.,Manufacturing 
 Transportation,,0.0
20190118,ARCOSA, INC.,Transportation 
 Manufacturing,,40000.0
20190422,ARCOSA, INC.,Manufacturing 
 Transportation,,60000.0
20200419,ARCOSA, INC.,Manufacturing 
 Transportation,,60000.0
20200719,ARCOSA, INC.,Transportation 
 Manufacturing,,60000.0
20201020,ARCOSA, INC.,Manufacturing 
 Transportation,,60000.0
20210120,ARCOSA, INC.,Transportation 
 Manufacturing,,60000.0
20210420,ARCOSA, INC.,Transportation 
 Manufacturing,,60000.0
20210720,ARCOSA, INC.,Manufacturing 
 Transportation,,60000.0
20211019,ARCOSA, INC.,Transportation 
 Manufacturing,,60000.0
20220119,ARCOSA, INC.,Transportation 
 Manufacturing,,60000.0
20220419,ARCOSA, INC.,Manufacturing 
 Transportation,,60000.0
